run, max, min, mean, last
v1t0_beta10_aug,  0.5077,  0.0775,  0.1895,  0.1454
v1t0_beta10_no-aug,  0.1943,  0.0191,  0.0970,  0.0882
v1t1_beta10_aug,  0.3194,  0.0095,  0.1098,  0.1132
v1t1_beta10_no-aug,  0.1251,  0.0000,  0.0465,  0.0679
v1t2_beta10_aug,  0.3540,  0.1013,  0.1795,  0.1502
v1t2_beta10_no-aug,  0.2467,  0.0238,  0.1273,  0.1144
v2t0_beta10_aug,  0.5006,  0.0942,  0.1925,  0.2026
v2t0_beta10_no-aug,  0.2122,  0.0000,  0.1337,  0.1442
v2t1_beta10_aug,  0.4362,  0.0822,  0.2104,  0.1621
v2t1_beta10_no-aug,  0.3075,  0.0393,  0.1045,  0.1144
v2t2_beta10_aug,  0.5948,  0.1299,  0.2342,  0.2193
v2t2_beta10_no-aug,  0.1347,  0.0000,  0.0840,  0.1097
v4t1_beta10_aug,  0.4458,  0.0763,  0.1554,  0.1430
v4t1_beta10_no-aug,  0.2765,  0.0060,  0.0831,  0.0858
v4t2_beta10_aug,  0.7294,  0.1013,  0.1643,  0.1538
v4t2_beta10_no-aug,  0.1538,  0.0000,  0.0701,  0.0751
v5t0_beta10_aug,  0.4493,  0.0870,  0.1534,  0.1502
v5t0_beta10_no-aug,  0.4982,  0.0417,  0.1220,  0.1609
v5t1_beta10_aug,  0.5828,  0.0942,  0.2151,  0.2324
v5t1_beta10_no-aug,  0.2431,  0.0274,  0.1135,  0.1418
v5t2_beta10_aug,  0.3492,  0.0954,  0.2383,  0.2694
v5t2_beta10_no-aug,  0.1216,  0.0000,  0.0721,  0.0989
v6t1_beta10_aug,  0.6651,  0.1168,  0.2112,  0.2062
v6t1_beta10_no-aug,  0.1514,  0.0000,  0.0848,  0.0977
v6t2_beta10_aug,  0.6067,  0.1430,  0.2497,  0.2253
v6t2_beta10_no-aug,  0.1633,  0.0000,  0.1025,  0.1180
v7t0_beta10_aug,  0.7652,  0.1192,  0.2971,  0.2968
v7t0_beta10_no-aug,  0.3576,  0.0453,  0.1048,  0.1037
v7t2_beta10_aug,  0.3528,  0.1073,  0.2282,  0.2753
v7t2_beta10_no-aug,  0.2944,  0.0095,  0.0898,  0.0906
v8t0_beta10_aug,  0.6317,  0.0989,  0.2367,  0.1967
v8t0_beta10_no-aug,  0.2539,  0.0358,  0.0910,  0.0810
v8t1_beta10_aug,  0.4255,  0.0524,  0.2010,  0.2288
v8t1_beta10_no-aug,  0.2956,  0.0489,  0.1159,  0.1383
v8t2_beta10_aug,  0.4625,  0.1263,  0.2599,  0.2408
v8t2_beta10_no-aug,  0.2133,  0.0000,  0.1039,  0.0965
v9t0_beta10_aug,  0.2765,  0.0644,  0.1729,  0.2050
v9t0_beta10_no-aug,  0.1955,  0.0000,  0.1151,  0.1585
v9t1_beta10_aug,  0.5864,  0.1168,  0.3248,  0.4076
v9t1_beta10_no-aug,  0.1204,  0.0000,  0.0802,  0.0894
v9t2_beta10_aug,  0.6770,  0.0739,  0.1840,  0.1442
v9t2_beta10_no-aug,  0.1704,  0.0000,  0.0867,  0.0894
