run, max, min, mean, last
v1t0_beta10_aug,  0.3123,  0.1859,  0.2398,  0.2300
v1t0_beta10_no-aug,  0.4970,  0.0036,  0.0728,  0.0727
v1t1_beta10_aug,  0.3194,  0.0095,  0.1098,  0.1132
v1t1_beta10_no-aug,  0.1251,  0.0000,  0.0465,  0.0679
v1t2_beta10_aug,  0.3540,  0.1013,  0.1795,  0.1502
v1t2_beta10_no-aug,  0.1657,  0.0000,  0.0979,  0.1216
v2t0_beta10_aug,  0.3206,  0.0560,  0.1390,  0.1359
v2t0_beta10_no-aug,  0.1883,  0.0322,  0.1011,  0.1251
v2t1_beta10_aug,  0.4362,  0.0822,  0.2104,  0.1621
v2t1_beta10_no-aug,  0.3004,  0.0250,  0.1114,  0.1836
v2t2_beta10_aug,  0.4732,  0.1073,  0.2419,  0.2968
v2t2_beta10_no-aug,  0.2420,  0.0000,  0.1176,  0.1287
v4t1_beta10_aug,  0.4243,  0.0882,  0.1711,  0.1514
v4t1_beta10_no-aug,  0.3313,  0.0310,  0.0952,  0.1168
v4t2_beta10_aug,  0.7294,  0.1013,  0.1643,  0.1538
v4t2_beta10_no-aug,  0.1740,  0.0274,  0.1149,  0.1347
v5t0_beta10_aug,  0.5232,  0.0691,  0.1934,  0.2157
v5t0_beta10_no-aug,  0.1824,  0.0000,  0.0997,  0.1061
v5t1_beta10_aug,  0.4243,  0.0524,  0.1521,  0.1740
v5t1_beta10_no-aug,  0.1716,  0.0048,  0.0865,  0.0858
v5t2_beta10_aug,  0.7271,  0.1144,  0.2353,  0.2145
v5t2_beta10_no-aug,  0.3063,  0.0238,  0.1026,  0.0894
v6t1_beta10_aug,  0.5292,  0.1299,  0.3150,  0.3170
v6t1_beta10_no-aug,  0.1657,  0.0286,  0.0869,  0.0775
v6t2_beta10_aug,  0.7533,  0.1824,  0.2800,  0.2932
v6t2_beta10_no-aug,  0.2598,  0.0119,  0.1180,  0.1359
v7t0_beta10_aug,  0.5280,  0.1454,  0.2967,  0.3552
v7t0_beta10_no-aug,  0.3647,  0.0119,  0.0723,  0.0620
v7t2_beta10_aug,  0.2884,  0.1180,  0.2002,  0.1955
v7t2_beta10_no-aug,  0.1526,  0.0334,  0.0909,  0.1049
v8t0_beta10_aug,  0.7747,  0.0775,  0.1682,  0.1311
v8t0_beta10_no-aug,  0.2312,  0.0262,  0.0991,  0.1037
v8t1_beta10_aug,  0.4255,  0.0524,  0.2010,  0.2288
v8t1_beta10_no-aug,  0.2515,  0.0298,  0.1158,  0.1383
v8t2_beta10_aug,  0.4911,  0.1049,  0.3384,  0.3242
v8t2_beta10_no-aug,  0.1561,  0.0000,  0.0891,  0.1204
v9t0_beta10_aug,  0.6460,  0.1132,  0.2322,  0.2193
v9t0_beta10_no-aug,  0.3135,  0.0215,  0.0952,  0.0894
v9t1_beta10_aug,  0.4839,  0.1263,  0.2343,  0.2062
v9t1_beta10_no-aug,  0.1251,  0.0000,  0.0557,  0.0548
v9t2_beta10_aug,  0.2980,  0.0989,  0.1868,  0.1585
v9t2_beta10_no-aug,  0.1824,  0.0000,  0.1070,  0.1323
